Location,Industry,Edition,Category,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Year,Year_date,Volume
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,2007-12-31,2613
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,2008-12-31,2513
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,2009-12-31,2421
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,2010-12-31,2422
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,2011-12-31,2439
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,2012-12-31,2350
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,2013-12-31,2334
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,2014-12-31,2411
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,2015-12-31,2514
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,2016-12-31,2541
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,2017-12-31,2693
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,2018-12-31,2842
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,2019-12-31,2992
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,2020-12-31,3129
1,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,2021-12-31,3230
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,2007-12-31,1527
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,2008-12-31,1560
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,2009-12-31,1603
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,2010-12-31,1623
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,2011-12-31,1651
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,2012-12-31,1687
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,2013-12-31,1674
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,2014-12-31,1628
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,2015-12-31,1593
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,2016-12-31,1511
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,2017-12-31,1494
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,2018-12-31,1482
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,2019-12-31,1462
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,2020-12-31,1475
2,Alcoholic Drinks,2022,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,2021-12-31,1481
