Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year,Date,Year_minus_2016,Volume,Volume_Litres,Category_ID,Subcategory_Name,Category_Name
8,Alcoholic Drinks,13,1,Total Volume,Anheuser-Busch InBev NV,million litres,2016,2016-12-31,4,"35506,37732",35506377320,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,million litres,2016,2016-12-31,4,"18482,5958",18482595800,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Carlsberg A/S,million litres,2016,2016-12-31,4,"11121,69868",11121698680,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,million litres,2016,2016-12-31,4,"6252,38259",6252382590,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,million litres,2016,2016-12-31,4,"7834,494901",7834494901,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,million litres,2016,2016-12-31,4,"2446,943741",2446943741,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2016,2016-12-31,4,"5373,662882",5373662882,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,million litres,2016,2016-12-31,4,"4770,918623",4770918623,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,million litres,2016,2016-12-31,4,"1926,566783",1926566783,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,million litres,2016,2016-12-31,4,"1549,127299",1549127299,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,million litres,2016,2016-12-31,4,"1670,209463",1670209463,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2016,2016-12-31,4,"1242,829771",1242829771,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2016,2016-12-31,4,"1463,857554",1463857554,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,million litres,2016,2016-12-31,4,"2365,222039",2365222039,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,million litres,2016,2016-12-31,4,"1622,630286",1622630286,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Oetker-Gruppe,million litres,2016,2016-12-31,4,"1239,428524",1239428524,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,UB Group,million litres,2016,2016-12-31,4,"1155,34743",1155347430,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,million litres,2016,2016-12-31,4,"1629,870008",1629870008,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2016,2016-12-31,4,"1174,469918",1174469918,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Grupo Mahou-San Miguel SA,million litres,2016,2016-12-31,4,"1036,747807",1036747807,1,Beer,Beer
